game,move_no,color,player,move,elapsed_ms,self_winrate,opp_self_winrate,auto_resign
9,17,B,b18_v10,K3,0.3,57.021,40.729,False
9,18,W,b28_v2,O17,0.233,58.485,56.973,False
9,19,B,b18_v10,F5,0.361,57.359,41.465,False
9,20,W,b28_v2,D2,0.227,60.17,58.328,False
9,21,B,b18_v10,K17,0.29,57.509,39.803,False
9,22,W,b28_v2,R17,0.221,58.618,55.654,False
9,23,B,b18_v10,Q17,0.402,57.296,41.485,False
9,24,W,b28_v2,R16,0.245,59.841,56.129,False
9,25,B,b18_v10,Q15,0.379,57.374,39.913,False
9,26,W,b28_v2,Q18,0.233,58.54,58.674,False
9,27,B,b18_v10,P18,0.347,56.541,40.632,False
9,28,W,b28_v2,R18,0.267,58.78,57.149,False
9,29,B,b18_v10,O18,0.334,56.123,39.975,False
9,30,W,b28_v2,R14,0.232,59.352,56.975,False
9,31,B,b18_v10,N17,0.335,55.65,39.835,False
9,32,W,b28_v2,C6,0.264,56.636,53.261,False
9,33,B,b18_v10,G16,0.292,54.195,41.834,False
9,34,W,b28_v2,K4,0.241,59.669,54.243,False
9,35,B,b18_v10,L4,0.374,52.488,40.361,False
9,36,W,b28_v2,J4,0.247,54.78,53.221,False
9,37,B,b18_v10,M4,0.367,53.72,44.241,False
9,38,W,b28_v2,K6,0.238,53.691,51.876,False
9,39,B,b18_v10,J7,0.402,53.119,44.234,False
9,40,W,b28_v2,J6,0.231,55.34,52.367,False
9,41,B,b18_v10,G7,0.383,56.346,43.943,False
9,42,W,b28_v2,E7,0.214,60.257,55.41,False
9,43,B,b18_v10,E6,0.341,59.731,39.72,False
9,44,W,b28_v2,F7,0.213,62.748,54.72,False
9,45,B,b18_v10,G6,0.4,61.967,36.328,False
9,46,W,b28_v2,K7,0.24,68.267,62.048,False
9,47,B,b18_v10,D6,0.353,62.551,31.958,False
9,48,W,b28_v2,D7,0.266,64.6,59.824,False
9,49,B,b18_v10,C5,0.4,66.541,33.211,False
9,50,W,b28_v2,D5,0.262,69.104,63.797,False
9,51,B,b18_v10,C7,0.391,79.36,32.692,False
9,52,W,b28_v2,B6,0.248,66.89,61.934,False
9,53,B,b18_v10,C8,0.349,86.009,28.211,False
9,54,W,b28_v2,B5,0.257,79.717,73.353,False
9,55,B,b18_v10,F8,0.381,88.724,19.005,False
9,56,W,b28_v2,E8,0.263,95.45,82.1,False
9,57,B,b18_v10,E9,0.426,96.547,6.035,False
9,58,W,b28_v2,RESIGN,0.0,3.716,87.086,True
10,1,B,b18_v10,Q16,0.302,57.347,42.52,False
10,2,W,b28_v2,D4,0.208,56.936,59.155,False
10,3,B,b18_v10,Q4,0.382,57.36,43.054,False
10,4,W,b28_v2,D16,0.211,57.853,56.295,False
10,5,B,b18_v10,C17,0.426,56.806,42.128,False
10,6,W,b28_v2,D17,0.201,57.057,57.342,False
10,7,B,b18_v10,C16,0.329,56.64,42.368,False
10,8,W,b28_v2,D15,0.217,58.474,57.6,False
10,9,B,b18_v10,C14,0.333,56.519,40.946,False
10,10,W,b28_v2,R17,383.413,58.234,56.153,False
10,11,B,b18_v10,Q17,1142.088,56.782,42.037,False
10,12,W,b28_v2,R16,343.044,56.684,57.105,False
10,13,B,b18_v10,Q15,419.805,57.006,42.536,False
10,14,W,b28_v2,R15,341.455,58.25,57.037,False
10,15,B,b18_v10,R14,1144.837,56.532,41.813,False
10,16,W,b28_v2,S14,411.575,58.518,57.99,False
10,17,B,b18_v10,B13,622.935,56.017,42.692,False
10,18,W,b28_v2,L17,359.345,59.71,56.4,False
10,19,B,b18_v10,R18,1276.902,57.643,40.709,False
10,20,W,b28_v2,S18,348.284,58.851,57.258,False
10,21,B,b18_v10,S13,1058.697,57.285,41.644,False
10,22,W,b28_v2,Q14,347.443,58.42,56.658,False
10,23,B,b18_v10,R13,859.648,57.775,41.561,False
10,24,W,b28_v2,Q18,350.863,58.8,57.581,False
10,25,B,b18_v10,S15,304.426,58.36,39.885,False
10,26,W,b28_v2,S16,370.183,62.417,58.353,False
10,27,B,b18_v10,P18,1027.38,58.1,39.307,False
10,28,W,b28_v2,R19,339.804,62.332,60.935,False
10,29,B,b18_v10,O16,1141.09,57.474,36.964,False
10,30,W,b28_v2,P14,349.227,59.762,54.581,False
10,31,B,b18_v10,M16,1337.754,56.424,40.047,False
10,32,W,b28_v2,L16,358.614,61.707,58.678,False
10,33,B,b18_v10,P12,846.131,56.255,38.044,False
10,34,W,b28_v2,L14,339.391,62.302,57.751,False
10,35,B,b18_v10,M14,1147.457,56.401,37.892,False
10,36,W,b28_v2,M13,345.827,62.091,56.442,False
10,37,B,b18_v10,L15,1189.093,58.783,37.688,False
10,38,W,b28_v2,K15,347.22,64.85,58.359,False
10,39,B,b18_v10,M15,866.194,64.686,35.503,False
10,40,W,b28_v2,L13,344.744,67.062,59.59,False
10,41,B,b18_v10,N13,1015.998,66.548,33.209,False
10,42,W,b28_v2,D14,350.57,75.375,64.307,False
10,43,B,b18_v10,J15,743.341,67.35,25.144,False
10,44,W,b28_v2,K14,378.281,70.931,65.297,False
10,45,B,b18_v10,N12,984.197,59.337,28.931,False
10,46,W,b28_v2,C12,374.133,67.864,55.804,False
10,47,B,b18_v10,K16,1270.871,56.15,33.586,False
10,48,W,b28_v2,J16,346.116,32.509,63.99,False
10,49,B,b18_v10,K17,983.826,18.317,67.51,False
10,50,W,b28_v2,J17,341.368,16.125,63.078,False
10,51,B,b18_v10,K18,278.947,12.921,85.375,False
10,52,W,b28_v2,L18,339.347,8.734,21.198,False
10,53,B,b18_v10,R5,279.381,11.75,90.233,False
10,54,W,b28_v2,F3,342.329,8.325,13.292,False
10,55,B,b18_v10,N4,1258.592,13.378,92.204,False
10,56,W,b28_v2,N7,339.15,7.191,11.602,False
10,57,B,b18_v10,G4,1169.909,14.559,92.313,False
10,58,W,b28_v2,H2,342.175,7.866,12.77,False
10,59,B,b18_v10,J3,1256.608,14.422,91.117,False
10,60,W,b28_v2,Q6,339.89,7.388,13.985,False
10,61,B,b18_v10,R6,1119.672,14.642,91.119,False
10,62,W,b28_v2,Q8,339.328,8.561,12.176,False
10,63,B,b18_v10,M12,837.098,17.955,91.623,False
10,64,W,b28_v2,K11,340.681,6.445,16.554,False
10,65,B,b18_v10,K12,1116.873,15.015,92.808,False
10,66,W,b28_v2,L12,341.935,6.123,15.871,False
10,67,B,b18_v10,J18,558.234,17.703,92.762,False
10,68,W,b28_v2,H18,341.688,8.714,23.18,False
10,69,B,b18_v10,L11,877.77,16.263,90.361,False
10,70,W,b28_v2,L10,339.847,6.886,10.338,False
10,71,B,b18_v10,M11,998.012,7.13,92.845,False
10,72,W,b28_v2,J19,342.739,4.768,11.321,False
10,73,B,b18_v10,K10,1260.831,11.287,95.705,False
10,74,W,b28_v2,J11,340.839,4.556,10.311,False
10,75,B,b18_v10,J10,314.051,15.014,94.507,False
10,76,W,b28_v2,H11,342.738,8.287,12.092,False
10,77,B,b18_v10,H10,424.36,15.958,90.188,False
10,78,W,b28_v2,G11,342.53,9.371,10.934,False
10,79,B,b18_v10,G10,279.843,17.482,88.521,False
10,80,W,b28_v2,F11,353.834,10.356,15.763,False
10,81,B,b18_v10,P7,578.691,19.503,88.447,False
10,82,W,b28_v2,Q7,357.499,16.828,19.655,False
10,83,B,b18_v10,O6,1323.47,26.856,81.142,False
10,84,W,b28_v2,R11,347.945,19.261,28.246,False
10,85,B,b18_v10,S10,431.495,30.557,80.377,False
10,86,W,b28_v2,Q12,352.09,18.071,26.881,False
10,87,B,b18_v10,S11,1314.312,27.537,81.962,False
10,88,W,b28_v2,N9,357.382,15.353,25.339,False
10,89,B,b18_v10,N6,895.352,29.311,83.469,False
10,90,W,b28_v2,L9,348.282,15.975,24.654,False
10,91,B,b18_v10,J7,1159.561,24.727,85.055,False
10,92,W,b28_v2,M6,348.21,12.695,18.471,False
10,93,B,b18_v10,O9,882.586,26.242,87.308,False
10,94,W,b28_v2,O10,389.242,17.675,23.244,False
10,95,B,b18_v10,P9,1026.088,28.528,82.976,False
10,96,W,b28_v2,K6,431.678,9.286,21.069,False
10,97,B,b18_v10,J6,1025.87,28.706,88.654,False
10,98,W,b28_v2,M4,367.422,11.795,21.833,False
10,99,B,b18_v10,M7,707.803,39.035,86.41,False
10,100,W,b28_v2,L7,343.847,16.98,31.697,False
10,101,B,b18_v10,M8,858.502,44.366,85.334,False
10,102,W,b28_v2,Q13,347.301,24.664,40.908,False
10,103,B,b18_v10,P10,1313.344,39.861,75.363,False
10,104,W,b28_v2,N8,347.462,29.495,45.435,False
